script,arch,variant,mode,window_s,seed,fold,test_subjects,exercise_pw_f1,exercise_pw_balacc,exercise_ps_f1,exercise_ps_balacc,phase_f1,phase_balacc,fatigue_mae,fatigue_r,reps_mae,val_total,n_test_windows,n_test_sets,best_hps_json
sweep_raw,cnn1d_raw,raw,multi,2.0,42,aggregate,,0.336599213324457,0.346755414479357,0.34132671422145106,0.3666666666666667,0.31671772040804014,0.3520369821531963,1.1143754963249857,0.20813465910141993,0.2532486031912365,0.6334304443732061,,,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,7,aggregate,,0.30647627296367697,0.3357449521027154,0.31000017620490283,0.3666666666666667,0.3010394055364197,0.3562353226672896,1.0680815923172262,0.30664515718259117,0.2618653130388835,0.5393950067050198,,,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,1337,aggregate,,0.3039963381387235,0.32663159908402595,0.33552213968136885,0.4,0.30291747988252204,0.3553672161297493,1.0836765598747349,0.24104755880614936,0.25542378242384045,0.586970765379051,,,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,42,aggregate,,0.28349131153024976,0.3087924548410374,0.2889115270694218,0.33333333333333337,0.3189169218379581,0.3521141004836771,1.0206471755131368,0.31792322302556836,0.13044275579658315,0.19468912394151366,,,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,7,aggregate,,0.25948894684852297,0.30212690004937115,0.28565966881889804,0.3625,0.3205545074332578,0.3508429669541988,1.0542881701053932,0.2965676844685524,0.13296573123039754,0.2539250673605942,,,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,1337,aggregate,,0.31867110150903,0.3333990419696645,0.3228552003552004,0.35416666666666663,0.31675955351416735,0.35718022437983116,1.0089669481785115,0.29069533317151586,0.135367931544654,0.19817770335256624,,,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,5.0,42,aggregate,,0.3759893388725272,0.3984021859111472,0.32750664540138225,0.3833333333333333,0.3017344578626603,0.35161162119783246,1.0311133956367142,0.18462921171451643,0.6292628669812801,1.1206747623778246,,,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,5.0,7,aggregate,,0.424003640817887,0.4465616801263804,0.4368508942038353,0.4666666666666666,0.3059673222812714,0.3663797995334256,1.0986214424591896,0.2009024932755485,0.639545978582088,1.1231720966425653,,,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,5.0,1337,aggregate,,0.2944358667250005,0.3138500999595043,0.3095589133089133,0.3333333333333333,0.2945468061314521,0.3627155535885471,1.0403266659465595,0.30353040833625083,0.6380832095577181,1.2742430504247833,,,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,exercise,2.0,42,aggregate,,0.23951115878804444,0.303286846707124,0.2328520683635773,0.3166666666666667,,,,,,0.665641551741163,,,"{""lr"": 0.00043102882719514725, ""weight_decay"": 1.0961611620041862e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4751320473928776}"
sweep_raw,cnn1d_raw,raw,exercise,2.0,7,aggregate,,0.13956282850987117,0.21060999688933824,0.1387433339607253,0.2166666666666667,,,,,,0.6723999985027366,,,"{""lr"": 0.00043102882719514725, ""weight_decay"": 1.0961611620041862e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4751320473928776}"
sweep_raw,cnn1d_raw,raw,exercise,2.0,1337,aggregate,,0.15789843405102943,0.2713009190090353,0.13724358974358974,0.275,,,,,,0.6718430176724984,,,"{""lr"": 0.00043102882719514725, ""weight_decay"": 1.0961611620041862e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4751320473928776}"
sweep_raw,cnn1d_raw,raw,exercise,1.0,42,aggregate,,0.2514397655002957,0.31141222398174434,0.2225,0.30833333333333335,,,,,,0.6664060079337247,,,"{""lr"": 0.00025980272005688104, ""weight_decay"": 1.1448918633452132e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4990713172058993}"
sweep_raw,cnn1d_raw,raw,exercise,1.0,7,aggregate,,0.12662376264652192,0.1941220987477637,0.11537662337662338,0.19166666666666665,,,,,,0.6726923411641593,,,"{""lr"": 0.00025980272005688104, ""weight_decay"": 1.1448918633452132e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4990713172058993}"
sweep_raw,cnn1d_raw,raw,exercise,1.0,1337,aggregate,,0.1506436897805963,0.25945116385054334,0.12726342710997443,0.2583333333333333,,,,,,0.6777483294980925,,,"{""lr"": 0.00025980272005688104, ""weight_decay"": 1.1448918633452132e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4990713172058993}"
sweep_raw,cnn1d_raw,raw,exercise,5.0,42,aggregate,,0.2732215208962606,0.3534355205259856,0.24306279283327523,0.3416666666666667,,,,,,0.6651424071841732,,,"{""lr"": 0.00045745782054754043, ""weight_decay"": 1.2172958098369984e-05, ""batch_size"": 32, ""repr_dim"": 128, ""dropout"": 0.4947547746402069}"
sweep_raw,cnn1d_raw,raw,exercise,5.0,7,aggregate,,0.28358592538550087,0.3462749076110089,0.2831799351319475,0.35,,,,,,0.6745407594239454,,,"{""lr"": 0.00045745782054754043, ""weight_decay"": 1.2172958098369984e-05, ""batch_size"": 32, ""repr_dim"": 128, ""dropout"": 0.4947547746402069}"
sweep_raw,cnn1d_raw,raw,exercise,5.0,1337,aggregate,,0.27941439866038376,0.3387772300392623,0.28964809700103816,0.3583333333333333,,,,,,0.6593272895812816,,,"{""lr"": 0.00045745782054754043, ""weight_decay"": 1.2172958098369984e-05, ""batch_size"": 32, ""repr_dim"": 128, ""dropout"": 0.4947547746402069}"
sweep_raw,cnn1d_raw,raw,phase,2.0,42,aggregate,,,,,,0.3236596334123186,0.35570604185308297,,,,-0.01549188670702841,,,"{""lr"": 0.00454714362616286, ""weight_decay"": 8.981860656458794e-06, ""batch_size"": 128, ""repr_dim"": 64, ""dropout"": 0.44036781161968164}"
sweep_raw,cnn1d_raw,raw,phase,2.0,7,aggregate,,,,,,0.3401230593599087,0.3606018602940668,,,,-0.005636197941789364,,,"{""lr"": 0.00454714362616286, ""weight_decay"": 8.981860656458794e-06, ""batch_size"": 128, ""repr_dim"": 64, ""dropout"": 0.44036781161968164}"
sweep_raw,cnn1d_raw,raw,phase,2.0,1337,aggregate,,,,,,0.33091118602889114,0.3607049437117901,,,,0.009201225236962502,,,"{""lr"": 0.00454714362616286, ""weight_decay"": 8.981860656458794e-06, ""batch_size"": 128, ""repr_dim"": 64, ""dropout"": 0.44036781161968164}"
sweep_raw,cnn1d_raw,raw,phase,1.0,42,aggregate,,,,,,0.3185376764687765,0.35066357796929004,,,,0.15306427260199157,,,"{""lr"": 0.0019943323470712573, ""weight_decay"": 0.00031655448625386744, ""batch_size"": 256, ""repr_dim"": 256, ""dropout"": 0.40975513058975344}"
sweep_raw,cnn1d_raw,raw,phase,1.0,7,aggregate,,,,,,0.3511467110461952,0.3604531918441265,,,,0.15296893827917862,,,"{""lr"": 0.0019943323470712573, ""weight_decay"": 0.00031655448625386744, ""batch_size"": 256, ""repr_dim"": 256, ""dropout"": 0.40975513058975344}"
sweep_raw,cnn1d_raw,raw,phase,1.0,1337,aggregate,,,,,,0.32751175483211875,0.3511210874794952,,,,0.16671360075260871,,,"{""lr"": 0.0019943323470712573, ""weight_decay"": 0.00031655448625386744, ""batch_size"": 256, ""repr_dim"": 256, ""dropout"": 0.40975513058975344}"
sweep_raw,cnn1d_raw,raw,phase,5.0,42,aggregate,,,,,,0.3791853422092834,0.39860935487894344,,,,-0.004786993265676902,,,"{""lr"": 0.0020512599422151364, ""weight_decay"": 6.235377135673162e-06, ""batch_size"": 64, ""repr_dim"": 64, ""dropout"": 0.1463476238100519}"
