script,arch,variant,mode,window_s,seed,fold,test_subjects,exercise_pw_f1,exercise_pw_balacc,exercise_ps_f1,exercise_ps_balacc,phase_f1,phase_balacc,fatigue_mae,fatigue_r,reps_mae,val_total,n_test_windows,n_test_sets,best_hps_json
sweep_raw,cnn1d_raw,raw,multi,2.0,42,0,Tias|sivert,0.5217252624325823,0.5503807054872507,0.5148809523809523,0.5416666666666666,0.32527437136132786,0.3486159844054581,1.0501946884984026,0.4345249182494994,0.2937905186379608,0.1582291350958827,626,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,42,1,Raghild|michael,0.20248294795709387,0.24491934616777583,0.18214285714285713,0.25,0.32782359094115643,0.34709942037528246,1.4575066440615836,0.004861710458327923,0.26663071779724973,1.1296105916199446,682,22,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,42,2,Juile|lucas 2,0.3890455555177712,0.3739749868204139,0.444331983805668,0.41666666666666663,0.21907314349525406,0.3334312861200901,1.0630794701986754,0.2953554077886865,0.21314925935168733,0.5972650002170082,755,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,42,3,Hytten|lucas,0.28143128219029545,0.2735670734396608,0.2777777777777778,0.29166666666666663,0.3618660087396279,0.3732398873527906,1.2138619277378815,-0.05979674511411944,0.25253727140482446,0.5660843474646658,557,20,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,42,4,Vivian|kiyomi,0.2883110185245421,0.29093496048168344,0.2875,0.33333333333333337,0.3495514875028342,0.3577983325123602,0.7872347511283851,0.3657280041247054,0.2401352487644601,0.7159631474685286,997,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,7,0,Tias|sivert,0.21989404137247548,0.2687053687174089,0.10344827586206896,0.25,0.20048159678278568,0.3345029239766082,1.0109574680511182,0.4320383319634842,0.3127918967712349,0.3793667977610335,626,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,7,1,Raghild|michael,0.205085682697623,0.2722821697774587,0.24505928853754938,0.33333333333333337,0.2892934454735796,0.3423347087140191,1.300569327346041,0.41960185092998087,0.2840718162969787,0.6552496082272348,682,22,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,7,2,Juile|lucas 2,0.4894506434519582,0.4570310148669614,0.5416666666666666,0.5,0.2855241297864249,0.349276315482604,0.9494515728476821,0.32644674528132595,0.23153330222734356,0.5050998485640974,755,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,7,3,Hytten|lucas,0.306324058173883,0.3473234929010862,0.33630952380952384,0.375,0.3478172174622603,0.3633064516129032,1.2585979578096949,-0.042797921344822666,0.2725866437972114,0.7686394579320664,557,20,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,7,4,Vivian|kiyomi,0.31162693912244505,0.3333827142506617,0.3235171261487051,0.375,0.382080638177048,0.3917562135503135,0.8208316355315948,0.3979367790829874,0.20834290610164882,0.38861932104066715,997,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,1337,0,Tias|sivert,0.24265132344579793,0.28933489463633844,0.1748768472906404,0.2916666666666667,0.2419007641803896,0.3377777777777778,0.9855793230830671,0.48451981724831633,0.3081319860283869,0.33942131988537577,626,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,1337,1,Raghild|michael,0.25998161146676,0.31858359728177565,0.2539285714285714,0.3333333333333333,0.29345339825375766,0.35228165831614106,1.4901083669354838,-0.04888726540021163,0.26697466298881695,1.1691334184663387,682,22,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,1337,2,Juile|lucas 2,0.4676599071222898,0.4546443159212312,0.5299019607843137,0.5,0.3662013422818792,0.3744268595870124,0.9010451158940397,0.35077581124074286,0.2168985335329017,0.44325565833919095,755,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,1337,3,Hytten|lucas,0.241295500666168,0.2626762389723317,0.28253968253968254,0.4166666666666667,0.24188076416337287,0.335752688172043,1.2967277266606823,-0.0008643458900147584,0.2567464344090064,0.6113599110762563,557,20,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,2.0,1337,4,Vivian|kiyomi,0.30839334799260154,0.3079189486084528,0.43636363636363634,0.4583333333333333,0.37115113053321086,0.3765970967957723,0.7449222668004012,0.4196937768319141,0.22836729516009002,0.3716835191280935,997,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,42,0,Tias|sivert,0.24402597921620323,0.24420647236830634,0.10818713450292397,0.125,0.2510218495236695,0.33282867438039093,1.0080706359474523,0.52736870092082,0.1511750797879034,0.04284472905906143,1256,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,42,1,Raghild|michael,0.2582630404560826,0.30292957700031764,0.1778846153846154,0.2916666666666667,0.31400694633757203,0.35064278031230295,1.3648913941954446,0.28014307834276614,0.12841483214485555,0.6801702841338999,1361,22,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
