arch,window_s,seed,per_set_mae,per_set_r,n_sets,per_window_mae,per_window_r,n_windows
cnn1d_raw,1.0,1337,0.9919838905334473,0.25164077019555636,114,0.9800792336463928,0.24622511726784377,7221
cnn1d_raw,1.0,42,1.0063409805297852,0.24288287257643668,114,0.9885636568069458,0.24969999544963498,7221
cnn1d_raw,1.0,7,1.031904935836792,0.19764887033358783,114,1.0222241878509521,0.2083147117817568,7221
cnn1d_raw,2.0,1337,1.051500916481018,0.15458248120442872,114,1.044644832611084,0.15287168645934787,3617
cnn1d_raw,2.0,42,1.06656813621521,0.15205651169016032,114,1.0824054479599,0.14501001138406058,3617
cnn1d_raw,2.0,7,1.0468785762786865,0.24080905738493014,114,1.0384550094604492,0.27781538575182785,3617
cnn1d_raw,5.0,1337,1.021254062652588,0.22888724443066732,114,0.9966696500778198,0.22192235025511378,1438
cnn1d_raw,5.0,42,1.0302302837371826,0.170004089151096,114,0.9999565482139587,0.16898386194500384,1438
cnn1d_raw,5.0,7,1.076952576637268,0.19069003998100778,114,1.093948245048523,0.17097752907734684,1438
tcn_raw,1.0,1337,0.9646518230438232,0.21654710870076238,114,0.9404763579368591,0.21506075905312355,7221
tcn_raw,1.0,42,0.9561599493026733,0.25806981300005477,114,0.9189727902412415,0.27488591623566694,7221
tcn_raw,1.0,7,0.9501606225967407,0.26803187119401667,114,0.918881356716156,0.2685509600440145,7221
tcn_raw,2.0,1337,0.9911981821060181,0.20593477627728987,114,0.965108335018158,0.2253031992198432,3617
tcn_raw,2.0,42,0.9572991728782654,0.23358154488224453,114,0.9453340768814087,0.22649711925320712,3617
tcn_raw,2.0,7,0.9923765659332275,0.20825179898230514,114,0.9695502519607544,0.22130380957397952,3617
tcn_raw,5.0,1337,1.0512765645980835,0.11310086800687184,114,1.0102328062057495,0.14680283774558558,1438
tcn_raw,5.0,42,1.02108895778656,0.17589453369794325,114,1.0119333267211914,0.18607965930313608,1438
tcn_raw,5.0,7,0.9816639423370361,0.2015153505603477,114,0.9587833285331726,0.20694213499982891,1438
cnn_lstm_raw,1.0,1337,0.9962943196296692,0.21950599098141216,114,1.0040820837020874,0.21022310294353327,7221
cnn_lstm_raw,1.0,42,0.9980899095535278,0.24368466785169968,114,0.9983928203582764,0.24934077547788497,7221
cnn_lstm_raw,1.0,7,0.9866718053817749,0.2885951413698481,114,0.9907780289649963,0.2957488564641379,7221
cnn_lstm_raw,2.0,1337,1.0447570085525513,0.2668981394201959,114,1.0585256814956665,0.25638743599167946,3617
cnn_lstm_raw,2.0,42,1.0099953413009644,0.23757791760253286,114,1.0020811557769775,0.24319171306278056,3617
cnn_lstm_raw,2.0,7,1.0829312801361084,0.24368826589886006,114,1.0885775089263916,0.25349743524443863,3617
cnn_lstm_raw,5.0,1337,0.948800265789032,0.32543208594964623,114,0.9397709369659424,0.2972013387514551,1438
cnn_lstm_raw,5.0,42,0.9374350309371948,0.3149089264039819,114,0.9253221750259399,0.3116359494601729,1438
cnn_lstm_raw,5.0,7,1.0038975477218628,0.23279443291822388,114,1.0040339231491089,0.21294858030749284,1438
