subject_id,recording_id,fatigue_mae,fatigue_pearson_r,exercise_f1
Hytten,recording_006,0.9719251336898396,-0.4353860543325354,0.47468842148514917
Juile,recording_013,1.1917016806722687,-0.1727042374311292,0.6358646548176223
Raghild,recording_014,1.3149509803921566,0.030961979283722154,0.4368171837010283
Tias,recording_012,1.044467787114846,0.8227671441487678,0.7065095457079151
Vivian,recording_003,0.693627450980392,0.13826466186101508,0.25762968584653234
kiyomi,recording_010,0.7895658263305321,0.24095547188779928,0.5985444197034009
lucas,recording_009,1.0870681605975723,-0.018642462709799336,0.5606897476696477
lucas 2,recording_011,0.6512605042016807,0.9138717770483731,0.6371225348055408
michael,recording_008,1.1676470588235293,0.49907800855215095,0.6291352773557105
sivert,recording_007,1.0133053221288517,0.7628874974556047,0.7528374863088719
