modality,n_combos,mean_delta_exercise_f1,std_delta_exercise_f1,mean_delta_phase_f1,std_delta_phase_f1,mean_delta_fatigue_mae_lower_better,std_delta_fatigue_mae_lower_better,mean_delta_reps_mae_lower_better,std_delta_reps_mae_lower_better
emg,6,-0.038379084356846255,0.03607558683370297,-0.03202900964615901,0.029682307991169162,0.014080662014509767,0.012222910175775373,-0.037712872595299846,0.02208660233609838
acc,6,-0.1416691174836716,0.06728461070413552,-0.03141163645884061,0.02934842517049925,0.010606511507607885,0.012174856502098019,-0.03976168914311629,0.022222143681554132
ppg,6,-0.07390839601322519,0.0837223974560849,-0.03380171657906643,0.04519414016105335,0.005314749445532359,0.018444291086081456,-0.03846148090247283,0.021933320021453206
temp,6,-0.059528813716265616,0.09196418783040393,-0.032046832733798276,0.047221224848566716,0.0055885115337969875,0.02449297941141103,-0.037079434677907315,0.022201520340928732
