category,slug,arch,variant,window_s,tasks,modality_dropped,cv_scheme,n_folds,n_seeds,exercise_f1_mean,exercise_f1_std,exercise_n,phase_f1_mean,phase_f1_std,phase_n,fatigue_mae_mean,fatigue_mae_std,fatigue_pearson_mean,fatigue_pearson_std,fatigue_n,reps_mae_mean,reps_mae_std,reps_n,val_total_mean,val_total_std,hp_lr,hp_dropout,hp_repr_dim,hp_weight_decay,hp_batch_size,hp_extra
ablation,v17abl-drop_emg-mlp-w5s,mlp,features,5,all 4,emg,LOSO 10-fold,10,3,0.507811618755569,0.12976187369218437,30,0.3328264329265208,0.04738075505788616,30,1.2782771312336372,0.2613366318928777,0.16012897416037136,0.2673689117071204,30,0.21670405503447665,0.044663368712533236,30,-0.038455102841059366,0.22391866697267854,0.0029911670450084023,0.36455305739362126,32,0.005508560556531181,128,"{""hidden_dim"": 16}"
ablation,v17abl-drop_ppg-lstm-w1s,lstm,features,1,all 4,ppg,LOSO 10-fold,10,3,0.1411415803443016,0.0460791755674367,30,0.2216113616545666,0.02224850973232419,30,1.0628673566165552,0.2819387907005651,0.06525320690107038,0.20996562194572974,30,0.2111851598234943,0.04107379744745742,30,-0.16328747249323616,0.3187768572856549,0.002469645860806916,0.32470612581272046,16,0.0009555267918374677,128,"{""lstm_hidden"": 32, ""lstm_layers"": 1}"
ablation,v17abl-drop_ppg-lstm-w2s,lstm,features,2,all 4,ppg,LOSO 10-fold,10,3,0.12950901503970266,0.028782278789503724,30,0.2256993404537581,0.025166218305632402,30,0.9823662640807693,0.23777390686338673,0.05848651788258371,0.17193511414491539,30,0.2092597622306919,0.0379820117531632,30,-0.21700802769069974,0.25443632652959614,0.002540841516629235,0.3193249335810906,64,0.005263820110984335,128,"{""lstm_hidden"": 32, ""lstm_layers"": 1}"
ablation,v17abl-drop_ppg-lstm-w5s,lstm,features,5,all 4,ppg,LOSO 10-fold,10,3,0.12323075042027165,0.01452147285852397,30,0.2168465185467513,0.016026714712923693,30,1.1075730463111664,0.2604510473232017,-0.004659371662946559,0.1867393964566736,30,0.21695728198774375,0.047655931528248284,30,0.15583521922429402,0.12950564374961826,0.00253463522317991,0.33358838332136576,32,0.001947579945525273,128,"{""lstm_hidden"": 8, ""lstm_layers"": 1}"
ablation,v17abl-drop_ppg-mlp-w1s,mlp,features,1,all 4,ppg,LOSO 10-fold,10,3,0.5162793789984347,0.10388510916870689,30,0.3391503444743495,0.028443542715831167,30,1.180584614130437,0.19665753720932092,0.12773015219375283,0.2895257003716989,30,0.20904796065984083,0.04017347610305406,30,-0.26453745774914267,0.33856097630711834,0.0024046541719757414,0.4030055322691992,64,0.0002181476167250017,128,"{""hidden_dim"": 32}"
ablation,v17abl-drop_ppg-mlp-w2s,mlp,features,2,all 4,ppg,LOSO 10-fold,10,3,0.5282017404302078,0.09914505149473687,30,0.33304268234858686,0.04052800134041991,30,1.2374609202898066,0.23039231379698505,0.1049903738842602,0.1984654160650622,30,0.21206034121427778,0.03928271880509257,30,-0.2763027742309992,0.27910118801902845,0.0028046390868500695,0.4828866027461608,64,0.009884157497089997,128,"{""hidden_dim"": 16}"
ablation,v17abl-drop_ppg-mlp-w5s,mlp,features,5,all 4,ppg,LOSO 10-fold,10,3,0.5094197891324143,0.10832577629070518,30,0.35063602039289876,0.04968563276940401,30,1.283684689656403,0.21241189186788542,0.08331364020644957,0.2345554461542646,30,0.21805104287171242,0.04697497585743822,30,-0.0331411341826121,0.1924371918951996,0.0029911670450084023,0.36455305739362126,32,0.005508560556531181,128,"{""hidden_dim"": 16}"
ablation,v17abl-drop_temp-lstm-w1s,lstm,features,1,all 4,temp,LOSO 10-fold,10,3,0.15094605074809633,0.07660291248344954,30,0.22315020263638558,0.026062448738066502,30,1.0450898070195636,0.29110855075087866,-0.1016092415656049,0.13350718727783825,30,0.21131000063404723,0.040277085984465104,30,-0.1659057168491119,0.31552339654940004,0.002469645860806916,0.32470612581272046,16,0.0009555267918374677,128,"{""lstm_hidden"": 32, ""lstm_layers"": 1}"
ablation,v17abl-drop_temp-lstm-w2s,lstm,features,2,all 4,temp,LOSO 10-fold,10,3,0.12406587511156739,0.014410799460321953,30,0.22189590847852753,0.016456955278037692,30,0.9913304440063514,0.25335129642567306,-0.16932819418672979,0.10524077010040431,30,0.209834722323782,0.0385898970921859,30,-0.2064185555137095,0.2518112764564805,0.002540841516629235,0.3193249335810906,64,0.005263820110984335,128,"{""lstm_hidden"": 32, ""lstm_layers"": 1}"
ablation,v17abl-drop_temp-lstm-w5s,lstm,features,5,all 4,temp,LOSO 10-fold,10,3,0.12323075042027165,0.01452147285852397,30,0.2168465185467513,0.016026714712923693,30,1.1120855532532572,0.24701987815387125,-0.17476054267758007,0.12260049196201556,30,0.2168380521832652,0.04762602880704261,30,0.15834908882776896,0.12918057879937933,0.00253463522317991,0.33358838332136576,32,0.001947579945525273,128,"{""lstm_hidden"": 8, ""lstm_layers"": 1}"
