slug,seed,fold,test_subjects,val_total,exercise_f1,exercise_balanced_acc,exercise_n,phase_f1,phase_balanced_acc,phase_n,fatigue_mae,fatigue_pearson,fatigue_n,reps_mae,reps_n
v17abl-drop_acc-lstm-w1s,1337,0,,-0.32678849759854767,0.10774193548387097,0.25,608,0.19698725376593282,0.5,608,0.814208984375,0.36532512902205394,608,0.24590818197726835,608
v17abl-drop_acc-lstm-w1s,1337,1,,0.1880863959972675,0.1130952380952381,0.25,650,0.21379980563654033,0.3333333333333333,466,1.8066045673076923,0.039467314983413194,650,0.3043504441106368,460
v17abl-drop_acc-lstm-w1s,1337,2,,0.4997751594770073,0.37429240679289477,0.4558027079303675,606,0.29543231052665014,0.34026974951830447,379,1.3018126031353134,0.4889921753517884,606,0.1926243066383231,373
v17abl-drop_acc-lstm-w1s,1337,3,,-0.38422218264726105,0.11507128309572301,0.25,756,0.2254249815225425,0.3333333333333333,597,1.19258949239418,-0.29224733460591445,756,0.1716831808818375,591
v17abl-drop_acc-lstm-w1s,1337,4,,-0.1747227937284142,0.37353137664796426,0.4611330783310649,792,0.29807149197127414,0.31467682287354415,452,0.9605330650252525,0.08720964830715805,792,0.19202774826529945,442
v17abl-drop_acc-lstm-w1s,1337,5,,-0.6040298458256316,0.08966730832798615,0.1858396457911021,717,0.21614319486659914,0.3333333333333333,667,0.8700368288005579,0.7580664440362876,717,0.1552253910249337,665
v17abl-drop_acc-lstm-w1s,1337,6,,-0.03215048883272254,0.14366197183098592,0.25,506,0.2162962962962963,0.3333333333333333,456,1.0990998641304348,-0.3643480392738047,506,0.22912230112308857,454
v17abl-drop_acc-lstm-w1s,1337,7,,-0.20379329842199667,0.36967141005062354,0.5778316429588994,599,0.22040072859744989,0.3333333333333333,490,1.1240609348914858,-0.11448922780521438,599,0.20210884367364915,486
v17abl-drop_acc-lstm-w1s,1337,8,,-0.4429641553516209,0.05282256771918577,0.07766472868217054,747,0.31215311131255863,0.4739757480088972,747,0.7966135374832664,-0.01837740145897152,747,0.20951541214857194,747
v17abl-drop_acc-lstm-w1s,1337,9,,0.16271836313020763,0.10978670012547051,0.25,1244,0.23561946902654865,0.3333333333333333,1169,1.048627160369775,-0.014993484576306663,1244,0.24726443394115585,1167
v17abl-drop_acc-lstm-w1s,42,0,,-0.35813657233589574,0.1615118850193477,0.26022063016823493,608,0.19698725376593282,0.5,608,0.8649581106085527,0.5555056765847575,608,0.2466798729215761,608
v17abl-drop_acc-lstm-w1s,42,1,,0.02588733177918654,0.1130952380952381,0.25,650,0.21379980563654033,0.3333333333333333,466,1.3784735576923077,0.2418328361221839,650,0.29633743045750355,460
v17abl-drop_acc-lstm-w1s,42,2,,0.5809933061253513,0.18116484854159837,0.2716783216783217,606,0.20893719806763286,0.3333333333333333,379,1.3356280940594059,0.396450993110269,606,0.19209575470057552,373
